Food,Calories
"Paratha (1(6""))",180
"Puri / Poori (1(4""))",150
"Roti (1(6""))",85
"Missi Roti (1(6""))",90
Daal (Urad) (with tarka) (150 gms),154
Daal (Urad) (without tarka) (150 gms),104
Rajmah / Chana / Lobia (150 gms),153
Dahi (toned milk) (150 gms),90
Lassi (salty) (200 ml),90
"Lassi (sweet)
(made of toned milk) (200 ml)",150
Vegetable (150 gms),142
Mixed Vegetable (150 gms),298
Chicken Tikka (6 pieces),273
Chicken Curry (150 gms),485
Kebabs (Sheekh) (Four),308
Meat Curry or Kofta (150 gms),485
Halwa (100 gms),331
Gulabjamun (2 med),280
Dosa (Plain) (1 med),125
Idli (2 med),132
"Uthapam (Plain) (1 med 6"")",210
Upma (100 gms),200
Poha (100 gms),200
Curd Rice (1 plate),190
"Vada (2 med (2½""))",130
Sambar (100 gms),120
Coconut Chutney (1 tbps),64
Pickles (1 tsp),20
Rasam (100 gms),60
Coconut Rice (1 plate),368
Papad (fried) (1 piece),142
Halwa (100 gms),331
Sweet corn chicken soup (1 bowl),175
Clear soup (Veg) (1 bowl),87
Vegetable Noodles (½ bowl),125
Vegetable Hakka Noodles (½ bowl),200
Chicken in hot garlic sauce (½ bowl),149
Sweet and sour vegetable (½ bowl),190
American Chopsuey (½ bowl),190
Chilli Chicken (1 bowl),285
Spring Roll (Veg) (½ plate),180
Spring Roll (Non Veg) (2 pieces),205
Steamed Rice (½ plate),50
Fried Rice (½ plate),170
Chicken Fried Rice (½ plate),250
Ice Cream (1 scoop),200
Vegetable Soup (clear) (1 bowl),87
Vegetable Soup (thick) (1 bowl),115
Chicken Soup (clear) (1 bowl),39
Chicken Soup (thick) (1 bowl),247
Chicken Steak (1 serving),154
Lamb Steak (1 serving),245
Pasta with meat sauce (1 serving),330
Lasagna (1 serving),433
Tossed green salad (1 serving),47
Garlic Bread with oil (2 slices),180
Fried Fish (1 piece*),180
Steamed Fish (1 piece*),141
Steamed Vegetable (½ cup),55
Apple pie (1/8 piece),282
"Chocolate cake with icing (¼"" cake)",233
Baked Custard (½ cup),153
Whole Milk (225 ml (1 cup)),150
Paneer (Whole Milk) (60 gms),150
Butter (1 tbsp),45
Ghee (1 tbsp),45
Apple (1 small),55
Banana (1/2 medium),55
Grapes (15 small),55
Mango (1/2 small),55
Musambi (1 medium),55
Orange (1 medium),55
Cooked Cereal (1/2 cup),80
Rice Cooked (25 gms),80
Chapatti (1 medium),80
Potato (1 medium),80
Dal (1 large katori),80
Mixed Vegetables (150 gms),80
Fish (50 gms),55
Mutton (1 oz),75
Egg (1 item),75
Biscuit (Sweet) (15 gms),70
Cake (Plain) (50 gms),135
Cake (Rich Chocolate) (50 gms),225
Dosa (Plain) (1 medium),135
Dosa (Masala) (1 medium),250
Pakoras (50 gms),175
Puri (1 large),85
Samosa (1 piece),140
Vada (Medu) (1 small),70
Biryani (Mutton) (1 cup),225
Biryani (Veg.) (1 cup),200
Curry (Chicken) (100 gms),225
Curry (Veg.) (100 gms),130
Fried Fish (85 gms),140
Pulav (Veg.) (100 gms),130
Carrot Halwa (45 gms),165
Jalebi (20gms),100
Kheer (100 gms),180
Rasgulla (50 gms),140
Cola (200 ml),90
